date,close,volume,open,high,low
3/3/2017,15.75,15179880,15.84,16.1,15.68
3/2/2017,15.79,12396110,15.77,16,15.72
3/1/2017,15.79,18150850,15.9,15.9,15.585
2/28/2017,15.77,10834170,16,16.04,15.74
2/27/2017,16.06,13634500,15.93,16.13,15.72
2/24/2017,15.98,9131252,15.95,15.985,15.85
2/23/2017,16.03,15282340,16.12,16.27,15.9
2/22/2017,16.08,13571130,16.4,16.5101,16.01
2/21/2017,16.42,15994330,16.64,16.69,16.3
2/17/2017,16.62,14369850,16.36,16.625,16.36
2/16/2017,16.35,21581000,16.69,16.79,16.32
2/15/2017,16.74,35157520,16.85,16.89,16.3
2/14/2017,16.52,34753570,15.92,16.6,15.85
2/13/2017,15.81,29081240,15.63,15.99,15.51
2/10/2017,15.58,72991600,15.96,16,15.5
2/9/2017,16.41,109153300,17.05,17.12,16.26
2/8/2017,18.72,37262650,18.77,18.77,18.045
2/7/2017,18.26,26750930,18,18.67,17.99
2/6/2017,17.93,13188700,17.7,17.97,17.41
2/3/2017,17.61,14376110,17.72,17.85,17.44
2/2/2017,17.78,19353850,17.33,17.86,17.12
2/1/2017,17.24,21112590,17.84,17.92,17.1
1/31/2017,17.62,25842410,16.95,17.74,16.91
1/30/2017,16.94,18255680,16.57,17.1,16.41
1/27/2017,16.57,11846530,16.91,16.97,16.53
1/26/2017,16.81,10075220,16.86,17.07,16.79
1/25/2017,16.73,10942900,16.7,16.79,16.59
1/24/2017,16.52,12722060,16.61,16.6579,16.33
1/23/2017,16.61,11780550,16.57,16.81,16.46
1/20/2017,16.58,14811540,16.82,16.9,16.46
1/19/2017,16.79,12706130,17.09,17.15,16.75
1/18/2017,17.11,12700840,17.01,17.14,16.83
1/17/2017,16.96,13122280,17.07,17.09,16.86
1/13/2017,17.25,11352890,17.38,17.66,17.23
1/12/2017,17.38,12372700,17.13,17.39,16.96
1/11/2017,17.3,10961010,17.46,17.6,17.17
1/10/2017,17.37,10458690,17.51,17.78,17.32
1/9/2017,17.5,11907790,17.22,17.555,17.19
1/6/2017,17.17,14651850,17.24,17.43,17.11
1/5/2017,17.09,17055740,16.91,17.27,16.8
1/4/2017,16.86,15852890,16.5,16.94,16.5
1/3/2017,16.44,11133650,16.31,16.45,16.21
12/30/2016,16.3,13998670,16.31,16.5701,16.22
12/29/2016,16.39,14675510,16.39,16.65,16.3
12/28/2016,16.39,13488480,16.63,16.7332,16.2914
12/27/2016,16.61,13014550,16.52,16.87,16.42
12/23/2016,16.5,18032850,16.34,16.6734,16.16
12/22/2016,16.41,27925100,16.82,16.89,16.27
12/21/2016,17.08,34378450,17.52,17.55,17.01
12/20/2016,17.92,16778990,18.23,18.3218,17.87
12/19/2016,18.24,12232330,18.6,18.7,18.22
12/16/2016,18.63,14198830,18.76,18.89,18.53
12/15/2016,18.79,11932830,18.94,19.15,18.71
12/14/2016,18.93,13415420,19.4,19.62,18.89
12/13/2016,19.37,15092590,18.97,19.59,18.94
12/12/2016,18.93,15573240,19.48,19.7,18.9
12/9/2016,19.65,15945930,19.56,19.84,19.3832
12/8/2016,19.64,19678430,19.5,19.71,19.08
12/7/2016,19.48,32109060,18.26,19.55,18.2
12/6/2016,18.23,14020230,18.31,18.5,18.1307
12/5/2016,18.23,12112400,17.96,18.36,17.87
12/2/2016,17.93,12178380,18,18.16,17.86
12/1/2016,18.03,19585590,18.82,18.83,17.735
11/30/2016,18.49,20563130,18.2,18.8,18.18
11/29/2016,18.19,13528340,18.22,18.6801,18.13
11/28/2016,18.3,19238400,18,18.3,17.85
11/25/2016,18.06,7862681,18.27,18.31,18.03
11/23/2016,18.22,16975080,18.45,18.59,18.08
11/22/2016,18.63,10685140,18.66,18.87,18.51
11/21/2016,18.6,13048550,18.72,18.91,18.59
11/18/2016,18.73,12488060,18.73,18.91,18.64
11/17/2016,18.55,16233820,18.7,18.9601,18.53
11/16/2016,18.63,14980890,18.98,19.151,18.59
11/15/2016,18.98,19510530,19.15,19.51,18.91
11/14/2016,19.14,23079110,18.75,19.2,18.5
11/11/2016,18.55,15344410,18.35,18.729,18.07
11/10/2016,18.37,31048940,19.04,19.3,18.03
11/9/2016,19.13,33941230,17.96,19.235,17.91
11/8/2016,18.38,19943260,18.22,18.56,17.77
11/7/2016,18.41,25981070,18.11,18.69,18.11
11/4/2016,18.02,30970110,17.52,18.34,17.5
11/3/2016,17.58,17031510,17.55,17.8599,17.26
11/2/2016,17.61,20841150,17.43,17.95,17.38
11/1/2016,17.49,22601440,17.84,18,17.261
10/31/2016,17.95,19506610,17.65,18.04,17.64
10/28/2016,17.66,29314890,17.7,18,17.5
10/27/2016,17.4,63633740,18,18.12,17.07
10/26/2016,17.29,35062280,17.58,17.66,17.17
10/25/2016,17.26,30662410,17.82,17.84,17.15
